,AÑO,CÓDIGO_DEPARTAMENTO,DEPARTAMENTO,POBLACIÓN_5_16
191,2016,86,Putumayo,91441
192,2016,88,"Archipiélago de San Andrés, Providencia y Santa Catalina",15167
193,2016,91,Amazonas,22243
194,2016,94,Guainía,11935
195,2016,95,Guaviare,31671
196,2016,97,Vaupés,12654
197,2016,99,Vichada,21951
198,2017,5,Antioquia,1270105
199,2017,8,Atlántico,518257
200,2017,11,"Bogotá, D.C.",1452849
201,2017,13,Bolívar,486067
202,2017,15,Boyacá,275027
203,2017,17,Caldas,191444
204,2017,18,Caquetá,124222
205,2017,19,Cauca,303777
206,2017,20,Cesar,259051
207,2017,23,Córdoba,413883
208,2017,25,Cundinamarca,579364
209,2017,27,Chocó,145765
210,2017,41,Huila,268582
211,2017,44,La Guajira,271221
212,2017,47,Magdalena,327940
213,2017,50,Meta,221844
214,2017,52,Nariño,393195
215,2017,54,Norte de Santander,304148
216,2017,63,Quindio,108156
217,2017,66,Risaralda,181154
218,2017,68,Santander,398621
219,2017,70,Sucre,197947
220,2017,73,Tolima,303140
221,2017,76,Valle del Cauca,873860
222,2017,81,Arauca,75197
223,2017,85,Casanare,88626
224,2017,86,Putumayo,91161
225,2017,88,"Archipiélago de San Andrés, Providencia y Santa Catalina",15106
226,2017,91,Amazonas,22269
227,2017,94,Guainía,11965
228,2017,95,Guaviare,31876
229,2017,97,Vaupés,12668
230,2017,99,Vichada,22282
231,2018,5,Antioquia,1147598
232,2018,8,Atlántico,521630
233,2018,11,"Bogotá, D.C.",1179282
234,2018,13,Bolívar,455784
235,2018,15,Boyacá,234116
236,2018,17,Caldas,162391
237,2018,18,Caquetá,98639
238,2018,19,Cauca,301714
239,2018,20,Cesar,288411
240,2018,23,Córdoba,386239
241,2018,25,Cundinamarca,547875
242,2018,27,Chocó,143975
243,2018,41,Huila,242238
244,2018,44,La Guajira,237991
245,2018,47,Magdalena,317652
246,2018,50,Meta,218707
247,2018,52,Nariño,314579
248,2018,54,Norte de Santander,307526
249,2018,63,Quindio,83383
250,2018,66,Risaralda,157477
251,2018,68,Santander,401463
252,2018,70,Sucre,201443
253,2018,73,Tolima,255496
254,2018,76,Valle del Cauca,861316
255,2018,81,Arauca,60962
